"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Sep 2020","1.893,15","1.973,90","2.000,65","1.852,00","1,25M","-4,32%"
"Ago 2020","1.978,60","1.997,40","2.089,20","1.874,20","7,18M","-0,37%"
"Jul 2020","1.985,90","1.817,50","2.005,40","1.788,30","1,62M","9,09%"
"Jun 2020","1.820,40","1.763,10","1.823,50","1.690,10","129,54K","3,10%"
"May 2020","1.765,70","1.705,70","1.800,00","1.688,00","113,73K","3,57%"
"Abr 2020","1.704,90","1.580,00","1.789,50","1.577,70","82,20K","6,72%"
"Mar 2020","1.597,60","1.609,10","1.712,10","1.458,80","86,50K","0,88%"
"Feb 2020","1.583,60","1.618,80","1.711,80","1.573,00","49,27K","-1,60%"
"Ene 2020","1.609,40","1.548,70","1.637,90","1.548,20","59,27K","3,79%"
"Dic 2019","1.550,60","1.494,00","1.555,00","1.485,00","9,43K","3,61%"
"Nov 2019","1.496,60","1.542,10","1.545,00","1.480,00","13,87K","-3,07%"
"Oct 2019","1.544,00","1.502,60","1.551,80","1.499,00","7,06K","2,78%"
"Sep 2019","1.502,30","1.562,80","1.590,70","1.500,10","4,92K","-3,53%"
"Ago 2019","1.557,20","1.450,80","1.584,50","1.443,30","4,36K","6,20%"
"Jul 2019","1.466,30","1.444,00","1.488,50","1.424,40","1,64K","1,35%"
"Jun 2019","1.446,80","1.356,50","1.473,90","1.356,50","1,44K","7,20%"
"May 2019","1.349,60","1.334,20","1.350,20","1.320,10","1,02K","1,04%"
"Abr 2019","1.335,70","1.342,70","1.363,90","1.323,80","0,07K","-0,77%"
"Mar 2019","1.346,00","1.350,00","1.368,20","1.342,20","0,19K","-2,13%"
"Feb 2019","1.375,30","1.382,60","1.388,00","1.374,00","0,30K","-0,63%"
"Ene 2019","1.384,00","1.351,80","1.377,60","1.351,80","0,28K","2,74%"
"Dic 2018","1.347,10","1.313,90","1.343,00","1.309,50","0,03K","4,21%"
"Nov 2018","1.292,70","1.289,70","1.289,70","1.289,70","0,15K","0,35%"
"Oct 2018","1.288,20","1.271,20","1.296,70","1.271,20","0,12K","1,54%"
"Sep 2018","1.268,70","1.266,10","1.271,90","1.260,00","0,10K","-0,70%"
"Ago 2018","1.277,70","1.308,00","1.308,00","1.265,80","0,07K","-2,45%"
"Jul 2018","1.309,80","1.327,00","1.327,00","1.301,90","0,12K","-2,52%"
"Jun 2018","1.343,70","1.392,40","1.392,40","1.353,70","0,03K","-3,68%"
"May 2018","1.395,00","1.413,50","1.413,50","1.405,30","0,10K","-1,70%"
"Abr 2018","1.419,10","1.460,10","1.460,10","1.442,00","0,02K","-0,48%"
"Mar 2018","1.426,00","1.433,40","1.433,40","1.433,40","0,01K","0,48%"
"Feb 2018","1.419,20","1.419,20","1.419,20","1.419,20","9,63K","-1,40%"
"Ene 2018","1.439,40","1.399,00","1.399,00","1.398,00","0,00K","3,41%"
"Dic 2017","1.391,90","1.327,60","1.372,10","1.327,60","0,08K","2,55%"
"Nov 2017","1.357,30","1.382,00","1.382,00","1.382,00","0,13K","0,71%"
"Oct 2017","1.347,70","1.353,30","1.382,00","1.351,70","0,01K","-0,73%"
"Sep 2017","1.357,60","1.406,60","1.406,60","1.367,30","0,15K","-2,23%"
"Ago 2017","1.388,50","1.326,40","1.393,70","1.326,40","0,01K","3,57%"
"Jul 2017","1.340,70","1.289,90","1.323,60","1.282,30","0,03K","2,03%"
"Jun 2017","1.314,00","1.342,80","1.342,80","1.313,70","0,01K","-2,56%"
"May 2017","1.348,50","1.326,90","1.340,00","1.303,20","0,06K","0,10%"
"Abr 2017","1.347,10","1.333,10","1.378,00","1.333,10","0,01K","1,30%"
"Mar 2017","1.329,80","1.307,60","1.344,00","1.294,00","0,09K","-0,34%"
"Feb 2017","1.334,30","1.289,00","1.323,90","1.289,00","0,05K","3,29%"
"Ene 2017","1.291,80","1.232,40","1.299,60","1.232,40","0,05K","4,64%"
"Dic 2016","1.234,50","1.236,70","1.239,00","1.236,70","0,02K","-0,31%"
"Nov 2016","1.238,40","1.334,00","1.334,00","1.334,00","0,16K","-7,15%"
"Oct 2016","1.333,70","1.333,70","1.333,70","1.333,70","0,00K","-2,68%"
"Sep 2016","1.370,40","1.386,70","1.386,70","1.378,00","0,31K","0,18%"
"Ago 2016","1.367,90","1.409,90","1.410,70","1.384,40","0,06K","-3,38%"
"Jul 2016","1.415,70","1.402,80","1.402,80","1.402,80","0,41K","2,96%"
"Jun 2016","1.375,00","1.375,00","1.375,00","1.375,00","0,06K","8,33%"
"May 2016","1.269,30","1.269,30","1.269,30","1.269,30","0,00K","-5,37%"
"Abr 2016","1.341,40","1.341,40","1.341,40","1.341,40","0,30K","4,72%"
