"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Sep 2020","23,494","28,407","29,230","21,810","90,77K","-17,84%"
"Ago 2020","28,594","24,545","29,915","23,590","91,97K","18,08%"
"Jul 2020","24,216","18,598","26,275","18,008","139,82K","34,06%"
"Jun 2020","18,064","18,685","18,948","17,017","50,25K","-2,35%"
"May 2020","18,499","15,005","18,755","14,762","64,04K","23,55%"
"Abr 2020","14,973","14,165","16,505","13,935","66,67K","5,51%"
"Mar 2020","14,191","16,625","17,625","11,645","7,65K","-13,40%"
"Feb 2020","16,387","18,100","18,920","16,340","1,50M","-9,02%"
"Ene 2020","18,012","17,905","18,895","17,280","1,89M","0,51%"
"Dic 2019","17,921","17,070","18,200","16,565","1,48M","4,76%"
"Nov 2019","17,106","18,230","18,380","16,760","471,40K","-6,11%"
"Oct 2019","18,220","17,185","18,495","17,075","41,47K","6,36%"
"Sep 2019","17,130","18,760","19,870","17,120","49,59K","-7,24%"
"Ago 2019","18,467","16,550","18,870","16,190","33,87K","11,70%"
"Jul 2019","16,533","15,400","16,805","15,035","88,92K","7,03%"
"Jun 2019","15,447","14,765","15,720","14,765","62,31K","4,68%"
"May 2019","14,756","15,185","15,200","14,470","38,34K","-2,08%"
"Abr 2019","15,069","15,295","15,485","14,880","31,72K","-1,48%"
"Mar 2019","15,295","15,750","15,835","15,135","13,46K","-1,56%"
"Feb 2019","15,538","16,010","16,070","15,520","18,49K","-3,02%"
"Ene 2019","16,022","15,520","16,140","15,140","0,58K","3,82%"
"Dic 2018","15,433","14,210","15,445","14,185","1,75K","9,50%"
"Nov 2018","14,094","14,580","14,645","13,945","24,66K","-0,95%"
"Oct 2018","14,229","14,350","14,740","14,215","0,88K","-2,69%"
"Sep 2018","14,623","14,450","14,555","13,910","3,86K","1,28%"
"Ago 2018","14,438","15,420","15,455","14,395","17,36K","-6,85%"
"Jul 2018","15,500","16,055","16,170","15,135","3,69K","-3,75%"
"Jun 2018","16,104","16,355","17,285","15,880","32,06K","-1,82%"
"May 2018","16,402","16,280","16,725","16,000","6,03K","0,55%"
"Abr 2018","16,312","16,470","17,200","16,140","22,11K","0,55%"
"Mar 2018","16,223","16,350","16,810","16,050","2,28K","-0,62%"
"Feb 2018","16,324","16,705","16,705","16,260","25,43K","-5,12%"
"Ene 2018","17,204","17,155","17,525","16,905","0,54K","0,84%"
"Dic 2017","17,060","16,385","17,045","15,555","3,51K","4,14%"
"Nov 2017","16,382","16,990","17,305","16,285","24,25K","-1,58%"
"Oct 2017","16,645","16,595","17,430","16,430","1,05K","0,23%"
"Sep 2017","16,607","17,565","18,160","16,655","5,95K","-4,99%"
"Ago 2017","17,480","16,635","17,600","16,090","23,43K","4,36%"
"Jul 2017","16,750","16,580","16,825","15,150","3,07K","1,10%"
"Jun 2017","16,568","17,300","17,695","16,330","19,66K","-4,61%"
"May 2017","17,368","17,185","17,400","16,030","6,07K","1,03%"
"Abr 2017","17,191","18,220","18,500","17,130","37,85K","-5,73%"
"Mar 2017","18,235","18,295","18,455","16,820","5,42K","-1,00%"
"Feb 2017","18,420","17,450","18,475","17,405","29,64K","5,19%"
"Ene 2017","17,512","16,040","17,560","16,030","0,53K","9,89%"
"Dic 2016","15,936","16,495","17,190","15,700","3,48K","-2,86%"
"Nov 2016","16,406","18,000","18,800","16,255","19,28K","-7,63%"
"Oct 2016","17,762","18,870","18,870","17,195","0,47K","-7,19%"
"Sep 2016","19,139","18,700","20,100","18,585","3,41K","2,78%"
"Ago 2016","18,622","20,510","20,750","18,505","16,16K","-8,32%"
